ID_Caso,Fecha_Ingreso,Sucursal_Propietaria,Ejecutivo,Tipificacion,Subtipificacion,Dias_Cartera,Estado,Prioridad,Canal_Ingreso,Monto_Compra,Cumple_SLA_7_dias,M20,Contacto_Cliente,Escalado,Resultado_Gestion
CASO-100171,2026-07-26,Quilicura,Ejecutivo_06,Producto defectuoso,Evaluación técnica,25,Escalado,Media,Call Center,99455,No,Sí,Sí,Sí,Resuelto
CASO-100172,2026-07-18,Puente Alto,Ejecutivo_03,Retraso en la entrega,Nueva fecha disponible,33,Pendiente,Media,Call Center,203919,No,Sí,Sí,Sí,Derivado
CASO-100173,2026-08-08,Ñuñoa,Ejecutivo_01,Reembolso pendiente,En validación,12,Cerrado,Media,Web,176065,No,No,Sí,No,Resuelto
CASO-100174,2026-08-16,Ñuñoa,Ejecutivo_07,Retraso en la entrega,Entregado,4,Pendiente,Alta,Tienda,180405,Sí,No,Sí,Sí,En seguimiento
CASO-100175,2026-08-15,Puente Alto,Ejecutivo_04,Problema de facturación,Boleta,5,Pendiente,Media,Tienda,244646,Sí,No,Sí,No,Pendiente información
CASO-100176,2026-08-12,Maipú,Ejecutivo_01,Retraso en la entrega,Entregado,8,En gestión,Baja,Web,194937,No,No,No,No,En seguimiento
CASO-100177,2026-07-23,Providencia,Ejecutivo_15,Retraso en la entrega,Sin nueva fecha,28,Pendiente,Media,App,215168,No,Sí,Sí,Sí,Derivado
CASO-100178,2026-07-20,Providencia,Ejecutivo_08,Producto no recibido,Despacho en ruta,31,Pendiente,Media,Call Center,54756,No,Sí,Sí,Sí,Pendiente información
CASO-100179,2026-08-11,Maipú,Ejecutivo_12,Producto no recibido,Listo para retiro,9,En gestión,Alta,Tienda,127863,No,No,No,Sí,Derivado
CASO-100180,2026-07-22,Las Condes,Ejecutivo_06,Descuento no aplicado,Cupón,29,Pendiente,Media,Web,66192,No,Sí,Sí,Sí,Derivado
CASO-100181,2026-08-06,Providencia,Ejecutivo_06,Servicio adicional,Armado,14,En gestión,Media,Call Center,196758,No,No,Sí,No,Resuelto
CASO-100182,2026-07-29,Ñuñoa,Ejecutivo_02,Reembolso pendiente,Pendiente sistema,22,Pendiente,Media,App,53733,No,Sí,No,Sí,En seguimiento
CASO-100183,2026-08-09,La Florida,Ejecutivo_15,Retraso en la entrega,Entregado,11,Pendiente,Media,App,240161,No,No,Sí,No,En seguimiento
CASO-100184,2026-07-28,Maipú,Ejecutivo_01,Retraso en la entrega,Nueva fecha disponible,23,Pendiente,Baja,Call Center,30993,No,Sí,Sí,Sí,Resuelto
CASO-100185,2026-08-19,Santiago Centro,Ejecutivo_13,Producto defectuoso,Garantía,1,Pendiente,Media,App,166564,Sí,No,Sí,No,En seguimiento
CASO-100186,2026-07-30,Ñuñoa,Ejecutivo_14,Producto no recibido,No entregado,21,Pendiente,Alta,Tienda,157053,No,Sí,No,No,Resuelto
CASO-100187,2026-07-25,La Florida,Ejecutivo_14,Reembolso pendiente,En validación,26,Escalado,Baja,Tienda,29143,No,Sí,Sí,No,Pendiente información
CASO-100188,2026-07-28,La Florida,Ejecutivo_02,Consulta transaccional,Estado transacción,23,Pendiente,Media,Tienda,213675,No,Sí,Sí,Sí,Derivado
CASO-100189,2026-08-19,Maipú,Ejecutivo_04,Descuento no aplicado,Cupón,1,En gestión,Baja,App,225524,Sí,No,Sí,No,Derivado
CASO-100190,2026-08-05,La Florida,Ejecutivo_02,Servicio adicional,Despacho adicional,15,Cerrado,Media,Tienda,196349,No,No,Sí,No,Resuelto
CASO-100191,2026-07-30,Maipú,Ejecutivo_01,Devolución,Recepcionado,21,Escalado,Baja,Web,112044,No,Sí,Sí,Sí,Cliente contactado
CASO-100192,2026-08-11,Providencia,Ejecutivo_07,Servicio adicional,Despacho adicional,9,Cerrado,Media,Tienda,248029,No,No,Sí,No,Resuelto
CASO-100193,2026-08-11,Puente Alto,Ejecutivo_11,Problema de facturación,Boleta,9,En gestión,Media,Tienda,186062,No,No,Sí,No,Resuelto
CASO-100194,2026-08-10,Ñuñoa,Ejecutivo_11,Retraso en la entrega,Entregado,10,En gestión,Baja,App,133406,No,No,Sí,No,Cliente contactado
CASO-100195,2026-07-25,Las Condes,Ejecutivo_15,Descuento no aplicado,Promoción,26,Pendiente,Media,Tienda,198960,No,Sí,No,Sí,Cliente contactado
CASO-100196,2026-07-16,Puente Alto,Ejecutivo_12,Problema de facturación,Boleta,35,Pendiente,Media,Call Center,74351,No,Sí,Sí,Sí,Derivado
CASO-100197,2026-07-26,Ñuñoa,Ejecutivo_08,Reembolso pendiente,Pendiente sistema,25,Escalado,Media,Web,233444,No,Sí,Sí,Sí,Derivado
CASO-100198,2026-07-25,Maipú,Ejecutivo_06,Devolución,Retiro pendiente,26,Pendiente,Media,App,186071,No,Sí,No,Sí,Derivado
CASO-100199,2026-08-09,Ñuñoa,Ejecutivo_04,Producto no recibido,Listo para retiro,11,Cerrado,Media,Web,239085,No,No,Sí,No,Resuelto
CASO-100200,2026-08-18,Providencia,Ejecutivo_14,Descuento no aplicado,Cupón,2,Pendiente,Media,Call Center,238883,Sí,No,Sí,No,Cliente contactado
CASO-100201,2026-08-13,Maipú,Ejecutivo_06,Descuento no aplicado,Cupón,7,En gestión,Media,App,240951,Sí,No,No,No,En seguimiento
CASO-100202,2026-08-02,Puente Alto,Ejecutivo_03,Retraso en la entrega,Entregado,18,Cerrado,Media,App,75309,No,No,Sí,No,Resuelto
CASO-100203,2026-07-24,Santiago Centro,Ejecutivo_12,Anulación de compra,Stock,27,Pendiente,Media,Tienda,148518,No,Sí,Sí,No,Pendiente información
CASO-100204,2026-07-17,Santiago Centro,Ejecutivo_08,Descuento no aplicado,Convenio,34,Pendiente,Media,Web,166805,No,Sí,Sí,No,Derivado
CASO-100205,2026-07-24,Quilicura,Ejecutivo_10,Producto defectuoso,Garantía,27,Escalado,Alta,Call Center,124156,No,Sí,Sí,No,Cliente contactado
CASO-100206,2026-08-03,Quilicura,Ejecutivo_14,Devolución,En revisión,17,Pendiente,Alta,Call Center,81000,No,No,Sí,Sí,Resuelto
CASO-100207,2026-07-27,Ñuñoa,Ejecutivo_13,Devolución,Retiro pendiente,24,Pendiente,Media,App,184704,No,Sí,Sí,Sí,Pendiente información
CASO-100208,2026-07-26,Santiago Centro,Ejecutivo_13,Producto defectuoso,Evaluación técnica,25,Pendiente,Media,Tienda,26576,No,Sí,Sí,Sí,Resuelto
CASO-100209,2026-08-13,Maipú,Ejecutivo_02,Consulta transaccional,Estado transacción,7,Cerrado,Media,App,8320,Sí,No,Sí,No,Resuelto
CASO-100210,2026-08-14,La Florida,Ejecutivo_05,Producto defectuoso,Cambio,6,En gestión,Media,App,146822,Sí,No,Sí,No,En seguimiento
CASO-100211,2026-07-27,Maipú,Ejecutivo_01,Producto defectuoso,Garantía,24,Pendiente,Media,App,108002,No,Sí,Sí,No,En seguimiento
CASO-100212,2026-07-18,La Florida,Ejecutivo_06,Devolución,Recepcionado,33,Pendiente,Baja,App,189535,No,Sí,No,Sí,Resuelto
CASO-100213,2026-07-22,Puente Alto,Ejecutivo_02,Servicio adicional,Instalación,29,Pendiente,Alta,Call Center,31572,No,Sí,Sí,Sí,Pendiente información
CASO-100214,2026-07-29,Las Condes,Ejecutivo_04,Devolución,En revisión,22,Pendiente,Media,Call Center,22948,No,Sí,No,Sí,Cliente contactado
CASO-100215,2026-07-25,La Florida,Ejecutivo_06,Anulación de compra,Solicitud cliente,26,Pendiente,Media,App,121528,No,Sí,Sí,Sí,Cliente contactado
CASO-100216,2026-07-23,Santiago Centro,Ejecutivo_10,Retraso en la entrega,Nueva fecha disponible,28,Pendiente,Baja,App,174898,No,Sí,Sí,Sí,Derivado
CASO-100217,2026-07-30,Maipú,Ejecutivo_11,Problema de facturación,Factura,21,Pendiente,Baja,Tienda,94051,No,Sí,Sí,No,Derivado
CASO-100218,2026-08-13,Puente Alto,Ejecutivo_08,Servicio adicional,Armado,7,Pendiente,Alta,App,32867,Sí,No,Sí,Sí,Cliente contactado
CASO-100219,2026-08-03,Santiago Centro,Ejecutivo_12,Producto no recibido,Despacho en ruta,17,Pendiente,Media,Call Center,196303,No,No,Sí,No,Resuelto
CASO-100220,2026-07-31,Puente Alto,Ejecutivo_08,Problema de facturación,Factura,20,Pendiente,Baja,Web,202334,No,No,Sí,No,Resuelto
CASO-100221,2026-07-31,Las Condes,Ejecutivo_11,Retraso en la entrega,Nueva fecha disponible,20,Pendiente,Media,Call Center,227428,No,No,Sí,No,En seguimiento
CASO-100222,2026-07-29,Providencia,Ejecutivo_06,Anulación de compra,Stock,22,Pendiente,Media,Tienda,208305,No,Sí,Sí,Sí,En seguimiento
CASO-100223,2026-07-23,Maipú,Ejecutivo_04,Anulación de compra,Error compra,28,Pendiente,Media,Call Center,49678,No,Sí,Sí,No,Derivado
CASO-100224,2026-08-13,Ñuñoa,Ejecutivo_08,Producto no recibido,Listo para retiro,7,Pendiente,Media,Web,112561,Sí,No,Sí,No,Cliente contactado
CASO-100225,2026-08-19,Maipú,Ejecutivo_13,Servicio adicional,Instalación,1,En gestión,Baja,App,17963,Sí,No,Sí,No,Resuelto
CASO-100226,2026-07-19,Quilicura,Ejecutivo_08,Consulta transaccional,Pago,32,Pendiente,Baja,Web,200432,No,Sí,Sí,Sí,Cliente contactado
CASO-100227,2026-08-07,Las Condes,Ejecutivo_10,Producto defectuoso,Cambio,13,En gestión,Media,App,54434,No,No,Sí,No,Pendiente información
CASO-100228,2026-07-21,Maipú,Ejecutivo_14,Servicio adicional,Despacho adicional,30,Escalado,Media,App,71617,No,Sí,Sí,No,Cliente contactado
CASO-100229,2026-07-28,Quilicura,Ejecutivo_01,Consulta transaccional,Abono,23,Escalado,Baja,Call Center,156341,No,Sí,Sí,Sí,Pendiente información
CASO-100230,2026-08-01,Ñuñoa,Ejecutivo_04,Anulación de compra,Stock,19,En gestión,Alta,Call Center,122569,No,No,No,No,En seguimiento
CASO-100231,2026-07-19,La Florida,Ejecutivo_04,Devolución,En revisión,32,Pendiente,Media,Call Center,212384,No,Sí,Sí,Sí,En seguimiento
CASO-100232,2026-07-21,Puente Alto,Ejecutivo_07,Retraso en la entrega,Entregado,30,Pendiente,Baja,Tienda,102352,No,Sí,Sí,No,Derivado
CASO-100233,2026-07-22,Ñuñoa,Ejecutivo_14,Producto no recibido,Listo para retiro,29,Pendiente,Media,Call Center,84732,No,Sí,Sí,Sí,Cliente contactado
CASO-100234,2026-07-22,Santiago Centro,Ejecutivo_14,Retraso en la entrega,Sin nueva fecha,29,Pendiente,Media,Tienda,112648,No,Sí,No,Sí,Cliente contactado
CASO-100235,2026-07-21,Las Condes,Ejecutivo_11,Reembolso pendiente,Pendiente banco,30,Pendiente,Alta,Call Center,86494,No,Sí,Sí,No,Pendiente información
CASO-100236,2026-08-04,La Florida,Ejecutivo_07,Reembolso pendiente,Pendiente sistema,16,Pendiente,Baja,App,224977,No,No,No,No,En seguimiento
CASO-100237,2026-08-01,Santiago Centro,Ejecutivo_13,Servicio adicional,Instalación,19,Cerrado,Media,Tienda,82225,No,No,Sí,No,Resuelto
CASO-100238,2026-08-02,Santiago Centro,Ejecutivo_11,Anulación de compra,Error compra,18,En gestión,Media,Web,87867,No,No,Sí,No,En seguimiento
CASO-100239,2026-08-19,Las Condes,Ejecutivo_15,Anulación de compra,Error compra,1,Cerrado,Media,Tienda,173600,Sí,No,No,No,Resuelto
CASO-100240,2026-08-06,La Florida,Ejecutivo_08,Producto defectuoso,Garantía,14,En gestión,Baja,Tienda,83972,No,No,Sí,No,En seguimiento
CASO-100241,2026-08-18,Providencia,Ejecutivo_11,Producto defectuoso,Cambio,2,En gestión,Baja,Web,201674,Sí,No,Sí,No,Pendiente información
CASO-100242,2026-07-23,Santiago Centro,Ejecutivo_05,Producto defectuoso,Cambio,28,Pendiente,Media,Tienda,101261,No,Sí,No,Sí,En seguimiento
CASO-100243,2026-07-21,Santiago Centro,Ejecutivo_07,Devolución,Retiro pendiente,30,Pendiente,Media,App,95748,No,Sí,No,Sí,Pendiente información
CASO-100244,2026-08-16,La Florida,Ejecutivo_08,Problema de facturación,Factura,4,Cerrado,Media,Call Center,169404,Sí,No,Sí,No,Resuelto
CASO-100245,2026-08-19,Maipú,Ejecutivo_15,Descuento no aplicado,Promoción,1,Pendiente,Baja,Web,129481,Sí,No,Sí,No,Derivado
CASO-100246,2026-08-12,Santiago Centro,Ejecutivo_09,Problema de facturación,Factura,8,Cerrado,Media,Call Center,227009,No,No,No,No,Resuelto
CASO-100247,2026-07-22,Puente Alto,Ejecutivo_03,Retraso en la entrega,Entregado,29,Pendiente,Baja,App,134529,No,Sí,Sí,Sí,Derivado
CASO-100248,2026-08-17,La Florida,Ejecutivo_03,Problema de facturación,Cobro incorrecto,3,Pendiente,Media,Web,215001,Sí,No,No,No,Cliente contactado
CASO-100249,2026-07-19,Santiago Centro,Ejecutivo_04,Devolución,Retiro pendiente,32,Pendiente,Baja,Call Center,205278,No,Sí,Sí,Sí,Cliente contactado
CASO-100250,2026-08-10,Las Condes,Ejecutivo_05,Retraso en la entrega,Entregado,10,Pendiente,Baja,Call Center,227209,No,No,Sí,No,En seguimiento
CASO-100251,2026-08-10,Ñuñoa,Ejecutivo_10,Problema de facturación,Factura,10,Cerrado,Media,App,7251,No,No,No,No,Resuelto
CASO-100252,2026-08-01,Puente Alto,Ejecutivo_01,Devolución,En revisión,19,Pendiente,Baja,Call Center,181789,No,No,Sí,No,Resuelto
CASO-100253,2026-07-17,Quilicura,Ejecutivo_15,Descuento no aplicado,Cupón,34,Pendiente,Media,App,104108,No,Sí,Sí,Sí,En seguimiento
CASO-100254,2026-07-18,Quilicura,Ejecutivo_15,Problema de facturación,Cobro incorrecto,33,Pendiente,Alta,Tienda,163099,No,Sí,Sí,No,Derivado
CASO-100255,2026-07-28,Ñuñoa,Ejecutivo_07,Devolución,Recepcionado,23,Pendiente,Media,App,102382,No,Sí,Sí,Sí,Pendiente información
CASO-100256,2026-07-23,Quilicura,Ejecutivo_09,Producto defectuoso,Cambio,28,Escalado,Media,Tienda,222623,No,Sí,Sí,No,Pendiente información
CASO-100257,2026-07-19,Ñuñoa,Ejecutivo_08,Anulación de compra,Solicitud cliente,32,Pendiente,Media,Web,14583,No,Sí,No,Sí,Cliente contactado
CASO-100258,2026-08-13,Santiago Centro,Ejecutivo_15,Producto defectuoso,Evaluación técnica,7,Cerrado,Media,Call Center,55387,Sí,No,Sí,No,Resuelto
CASO-100259,2026-07-22,Puente Alto,Ejecutivo_15,Anulación de compra,Error compra,29,Pendiente,Media,App,28104,No,Sí,Sí,Sí,Pendiente información
CASO-100260,2026-08-12,Puente Alto,Ejecutivo_05,Producto no recibido,Listo para retiro,8,Pendiente,Media,App,17224,No,No,No,No,Derivado
CASO-100261,2026-08-19,Maipú,Ejecutivo_14,Producto no recibido,No entregado,1,En gestión,Media,Call Center,65624,Sí,No,Sí,No,Derivado
CASO-100262,2026-08-17,Ñuñoa,Ejecutivo_14,Producto no recibido,Despacho en ruta,3,Pendiente,Media,Call Center,192130,Sí,No,Sí,No,Pendiente información
CASO-100263,2026-07-27,Puente Alto,Ejecutivo_04,Descuento no aplicado,Convenio,24,Pendiente,Media,Web,109320,No,Sí,Sí,Sí,Derivado
CASO-100264,2026-07-28,Maipú,Ejecutivo_12,Producto defectuoso,Cambio,23,Pendiente,Media,Web,232444,No,Sí,No,No,Derivado
CASO-100265,2026-08-12,La Florida,Ejecutivo_07,Anulación de compra,Stock,8,Pendiente,Media,App,165371,No,No,Sí,No,Cliente contactado
CASO-100266,2026-08-17,Maipú,Ejecutivo_05,Devolución,Recepcionado,3,En gestión,Media,Web,83572,Sí,No,Sí,No,Resuelto
CASO-100267,2026-07-18,Las Condes,Ejecutivo_07,Retraso en la entrega,Entregado,33,Pendiente,Media,Tienda,90469,No,Sí,Sí,Sí,Cliente contactado
CASO-100268,2026-07-23,Providencia,Ejecutivo_12,Devolución,En revisión,28,Pendiente,Baja,Web,82928,No,Sí,Sí,No,Resuelto
CASO-100269,2026-08-12,Santiago Centro,Ejecutivo_01,Retraso en la entrega,Entregado,8,Cerrado,Baja,Web,209546,No,No,Sí,No,Resuelto
CASO-100270,2026-07-17,La Florida,Ejecutivo_01,Reembolso pendiente,En validación,34,Pendiente,Media,App,9141,No,Sí,Sí,Sí,Resuelto
CASO-100271,2026-07-16,Providencia,Ejecutivo_10,Devolución,En revisión,35,Pendiente,Baja,Tienda,159422,No,Sí,Sí,Sí,Derivado
CASO-100272,2026-07-19,Providencia,Ejecutivo_14,Problema de facturación,Cobro incorrecto,32,Escalado,Baja,Web,211154,No,Sí,No,No,Derivado
CASO-100273,2026-07-27,La Florida,Ejecutivo_13,Problema de facturación,Cobro incorrecto,24,Pendiente,Baja,Tienda,75871,No,Sí,Sí,No,Cliente contactado
CASO-100274,2026-08-06,Las Condes,Ejecutivo_03,Servicio adicional,Despacho adicional,14,Pendiente,Media,Tienda,141149,No,No,Sí,No,Cliente contactado
CASO-100275,2026-07-19,Maipú,Ejecutivo_14,Producto defectuoso,Evaluación técnica,32,Pendiente,Baja,Tienda,51015,No,Sí,Sí,Sí,En seguimiento
CASO-100276,2026-08-04,Santiago Centro,Ejecutivo_11,Retraso en la entrega,Nueva fecha disponible,16,Cerrado,Media,Call Center,207219,No,No,Sí,No,Resuelto
CASO-100277,2026-08-16,Maipú,Ejecutivo_02,Retraso en la entrega,Entregado,4,Pendiente,Media,Call Center,195252,Sí,No,Sí,No,En seguimiento
CASO-100278,2026-07-30,Puente Alto,Ejecutivo_02,Producto defectuoso,Garantía,21,Escalado,Alta,Call Center,176929,No,Sí,Sí,Sí,En seguimiento
CASO-100279,2026-08-06,Maipú,Ejecutivo_07,Descuento no aplicado,Promoción,14,En gestión,Media,Call Center,237268,No,No,Sí,No,Resuelto
CASO-100280,2026-07-20,Quilicura,Ejecutivo_12,Servicio adicional,Despacho adicional,31,Pendiente,Alta,App,195912,No,Sí,Sí,Sí,Derivado
CASO-100281,2026-08-02,La Florida,Ejecutivo_10,Descuento no aplicado,Cupón,18,En gestión,Media,Web,64902,No,No,Sí,No,Derivado
CASO-100282,2026-08-13,Santiago Centro,Ejecutivo_02,Descuento no aplicado,Convenio,7,En gestión,Media,Call Center,10577,Sí,No,Sí,No,Derivado
CASO-100283,2026-08-10,Maipú,Ejecutivo_11,Descuento no aplicado,Cupón,10,Pendiente,Baja,App,25002,No,No,Sí,No,Pendiente información
CASO-100284,2026-08-13,Santiago Centro,Ejecutivo_04,Producto defectuoso,Garantía,7,Cerrado,Baja,Web,55711,Sí,No,Sí,No,Resuelto
CASO-100285,2026-07-18,Santiago Centro,Ejecutivo_02,Descuento no aplicado,Cupón,33,Pendiente,Media,Call Center,44451,No,Sí,Sí,No,Resuelto
CASO-100286,2026-07-28,Puente Alto,Ejecutivo_06,Problema de facturación,Boleta,23,Pendiente,Baja,Web,235883,No,Sí,Sí,Sí,Derivado
CASO-100287,2026-07-30,Puente Alto,Ejecutivo_08,Producto no recibido,No entregado,21,Pendiente,Baja,Call Center,185175,No,Sí,Sí,Sí,En seguimiento
CASO-100288,2026-08-01,La Florida,Ejecutivo_10,Reembolso pendiente,Pendiente sistema,19,Cerrado,Baja,App,164719,No,No,No,No,Resuelto
CASO-100289,2026-08-01,Las Condes,Ejecutivo_04,Retraso en la entrega,Sin nueva fecha,19,Pendiente,Alta,Tienda,39831,No,No,Sí,Sí,En seguimiento
CASO-100290,2026-07-22,Quilicura,Ejecutivo_15,Retraso en la entrega,Entregado,29,Escalado,Media,Tienda,236376,No,Sí,Sí,Sí,Cliente contactado
CASO-100291,2026-08-02,Providencia,Ejecutivo_05,Reembolso pendiente,Pendiente banco,18,Pendiente,Baja,Web,101498,No,No,Sí,No,Resuelto
CASO-100292,2026-08-18,Santiago Centro,Ejecutivo_04,Producto defectuoso,Cambio,2,En gestión,Media,App,133949,Sí,No,Sí,No,Resuelto
CASO-100293,2026-08-19,Las Condes,Ejecutivo_03,Devolución,En revisión,1,En gestión,Media,Tienda,249942,Sí,No,Sí,No,En seguimiento
CASO-100294,2026-08-15,Providencia,Ejecutivo_05,Producto defectuoso,Cambio,5,Pendiente,Media,Call Center,100119,Sí,No,No,No,Pendiente información
CASO-100295,2026-07-31,Providencia,Ejecutivo_14,Retraso en la entrega,Nueva fecha disponible,20,Pendiente,Media,Tienda,71830,No,No,Sí,No,Resuelto
CASO-100296,2026-08-09,Quilicura,Ejecutivo_09,Retraso en la entrega,Entregado,11,En gestión,Media,Web,85632,No,No,No,No,En seguimiento
CASO-100297,2026-08-18,La Florida,Ejecutivo_08,Reembolso pendiente,Pendiente banco,2,En gestión,Alta,Web,41833,Sí,No,No,Sí,Pendiente información
CASO-100298,2026-08-17,Providencia,Ejecutivo_08,Descuento no aplicado,Cupón,3,En gestión,Media,App,248466,Sí,No,Sí,No,En seguimiento
CASO-100299,2026-07-28,Quilicura,Ejecutivo_08,Producto defectuoso,Garantía,23,Pendiente,Baja,Web,228936,No,Sí,Sí,Sí,Pendiente información
CASO-100300,2026-08-08,Providencia,Ejecutivo_12,Anulación de compra,Solicitud cliente,12,Cerrado,Baja,Tienda,29398,No,No,Sí,No,Resuelto
CASO-100301,2026-07-31,Santiago Centro,Ejecutivo_08,Reembolso pendiente,En validación,20,En gestión,Alta,Tienda,66554,No,No,Sí,Sí,Pendiente información
CASO-100302,2026-08-15,Santiago Centro,Ejecutivo_07,Problema de facturación,Cobro incorrecto,5,Cerrado,Baja,Tienda,55755,Sí,No,No,No,Resuelto
CASO-100303,2026-07-21,Ñuñoa,Ejecutivo_08,Retraso en la entrega,Entregado,30,Pendiente,Media,Tienda,153778,No,Sí,Sí,Sí,Derivado
CASO-100304,2026-08-11,Las Condes,Ejecutivo_11,Reembolso pendiente,Pendiente sistema,9,En gestión,Media,App,158412,No,No,No,No,En seguimiento
CASO-100305,2026-07-17,Maipú,Ejecutivo_14,Producto defectuoso,Evaluación técnica,34,Pendiente,Baja,Call Center,69994,No,Sí,Sí,Sí,Derivado
CASO-100306,2026-07-16,Quilicura,Ejecutivo_08,Retraso en la entrega,Sin nueva fecha,35,Pendiente,Baja,Call Center,68884,No,Sí,No,No,Derivado
CASO-100307,2026-07-29,Puente Alto,Ejecutivo_13,Devolución,Recepcionado,22,Pendiente,Baja,App,89361,No,Sí,No,Sí,En seguimiento
CASO-100308,2026-07-27,Quilicura,Ejecutivo_14,Reembolso pendiente,Pendiente banco,24,Escalado,Media,Web,22482,No,Sí,Sí,Sí,En seguimiento
CASO-100309,2026-08-03,Maipú,Ejecutivo_08,Servicio adicional,Instalación,17,En gestión,Baja,Call Center,59225,No,No,Sí,No,Cliente contactado
CASO-100310,2026-08-10,Las Condes,Ejecutivo_12,Retraso en la entrega,Entregado,10,En gestión,Alta,Web,194921,No,No,Sí,No,En seguimiento
CASO-100311,2026-07-21,Puente Alto,Ejecutivo_10,Producto defectuoso,Evaluación técnica,30,Pendiente,Media,Call Center,79854,No,Sí,No,Sí,Resuelto
CASO-100312,2026-07-28,Maipú,Ejecutivo_07,Producto no recibido,Despacho en ruta,23,Pendiente,Media,Web,46256,No,Sí,No,No,Resuelto
CASO-100313,2026-07-19,Ñuñoa,Ejecutivo_12,Anulación de compra,Solicitud cliente,32,Escalado,Media,App,245617,No,Sí,No,Sí,Cliente contactado
CASO-100314,2026-08-03,Puente Alto,Ejecutivo_01,Consulta transaccional,Abono,17,Pendiente,Media,Tienda,113721,No,No,Sí,No,Pendiente información
CASO-100315,2026-08-03,Santiago Centro,Ejecutivo_04,Descuento no aplicado,Convenio,17,Cerrado,Baja,Web,86110,No,No,Sí,No,Resuelto
CASO-100316,2026-08-06,Maipú,Ejecutivo_13,Consulta transaccional,Abono,14,Cerrado,Media,Tienda,118606,No,No,No,No,Resuelto
CASO-100317,2026-08-11,Quilicura,Ejecutivo_13,Producto defectuoso,Cambio,9,En gestión,Alta,Web,19650,No,No,Sí,Sí,En seguimiento
CASO-100318,2026-08-18,Puente Alto,Ejecutivo_04,Problema de facturación,Factura,2,Pendiente,Media,Web,182190,Sí,No,No,No,Cliente contactado
CASO-100319,2026-07-26,Ñuñoa,Ejecutivo_05,Problema de facturación,Boleta,25,Pendiente,Media,Web,33930,No,Sí,Sí,Sí,Pendiente información
CASO-100320,2026-08-11,Quilicura,Ejecutivo_10,Producto no recibido,No entregado,9,En gestión,Baja,Web,221779,No,No,Sí,No,Pendiente información
CASO-100321,2026-07-29,Providencia,Ejecutivo_06,Descuento no aplicado,Promoción,22,Escalado,Media,Web,105400,No,Sí,Sí,Sí,Derivado
CASO-100322,2026-08-16,Puente Alto,Ejecutivo_04,Servicio adicional,Instalación,4,En gestión,Media,Tienda,16801,Sí,No,Sí,No,Resuelto
CASO-100323,2026-07-25,Puente Alto,Ejecutivo_15,Producto no recibido,Listo para retiro,26,Pendiente,Baja,Web,56360,No,Sí,Sí,Sí,En seguimiento
CASO-100324,2026-07-22,Ñuñoa,Ejecutivo_02,Consulta transaccional,Estado transacción,29,Escalado,Media,Tienda,92908,No,Sí,Sí,Sí,Cliente contactado
CASO-100325,2026-07-17,Providencia,Ejecutivo_06,Producto no recibido,No entregado,34,Escalado,Media,App,152631,No,Sí,Sí,Sí,Pendiente información
CASO-100326,2026-07-28,Maipú,Ejecutivo_15,Consulta transaccional,Pago,23,Pendiente,Media,Call Center,37334,No,Sí,Sí,Sí,Derivado
CASO-100327,2026-08-09,La Florida,Ejecutivo_08,Retraso en la entrega,Entregado,11,Cerrado,Media,Web,241545,No,No,Sí,No,Resuelto
CASO-100328,2026-08-14,Maipú,Ejecutivo_15,Problema de facturación,Factura,6,Pendiente,Media,Call Center,18288,Sí,No,Sí,No,Resuelto
CASO-100329,2026-08-02,Providencia,Ejecutivo_08,Retraso en la entrega,Nueva fecha disponible,18,En gestión,Media,Tienda,158470,No,No,No,No,Cliente contactado
CASO-100330,2026-07-30,Las Condes,Ejecutivo_07,Anulación de compra,Solicitud cliente,21,Pendiente,Baja,App,212302,No,Sí,Sí,Sí,Pendiente información
CASO-100331,2026-07-17,Quilicura,Ejecutivo_06,Descuento no aplicado,Promoción,34,Pendiente,Baja,App,17191,No,Sí,No,Sí,Cliente contactado
CASO-100332,2026-08-03,Ñuñoa,Ejecutivo_02,Servicio adicional,Despacho adicional,17,Pendiente,Media,App,23051,No,No,Sí,No,Cliente contactado
CASO-100333,2026-07-26,Maipú,Ejecutivo_15,Consulta transaccional,Pago,25,Pendiente,Alta,Call Center,66715,No,Sí,Sí,Sí,Derivado
CASO-100334,2026-08-08,Puente Alto,Ejecutivo_07,Servicio adicional,Despacho adicional,12,En gestión,Baja,Tienda,15737,No,No,Sí,No,Resuelto
CASO-100335,2026-07-28,Ñuñoa,Ejecutivo_11,Consulta transaccional,Estado transacción,23,Escalado,Media,Web,70140,No,Sí,Sí,No,En seguimiento
CASO-100336,2026-07-29,Santiago Centro,Ejecutivo_12,Producto defectuoso,Evaluación técnica,22,Escalado,Media,Web,161323,No,Sí,Sí,Sí,Resuelto
CASO-100337,2026-07-30,Providencia,Ejecutivo_14,Producto no recibido,No entregado,21,Pendiente,Media,Tienda,187047,No,Sí,Sí,No,Resuelto
CASO-100338,2026-07-24,Quilicura,Ejecutivo_14,Anulación de compra,Stock,27,Escalado,Baja,Call Center,10147,No,Sí,Sí,Sí,Derivado
CASO-100339,2026-07-20,Maipú,Ejecutivo_05,Problema de facturación,Cobro incorrecto,31,Pendiente,Media,Web,55508,No,Sí,Sí,No,En seguimiento
CASO-100340,2026-08-14,Ñuñoa,Ejecutivo_06,Consulta transaccional,Estado transacción,6,En gestión,Alta,Tienda,57224,Sí,No,Sí,No,Pendiente información
